City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,marawi,8.0,124.29,84.99,81,100,4.0,PH,1594110125
88,bengkulu,-3.8,102.27,88.09,59,71,8.01,ID,1594109731
89,manicore,-5.81,-61.3,71.6,94,39,1.74,BR,1594110126
90,egvekinot,66.32,-179.17,42.55,94,100,3.65,RU,1594109818
91,arequipa,-16.4,-71.53,52.83,41,84,1.36,PE,1594109859
92,faya,18.39,42.45,84.2,28,100,6.93,SA,1594110126
93,ahuimanu,21.44,-157.84,78.8,78,90,10.29,US,1594110127
94,bathsheba,13.22,-59.52,78.8,88,40,6.93,BB,1594109654
95,bredasdorp,-34.53,20.04,60.8,51,59,5.82,ZA,1594109656
96,sawtell,-30.38,153.1,62.01,67,40,6.93,AU,1594110127
97,kavaratti,10.57,72.64,83.97,78,100,17.11,IN,1594109791
98,katsuura,35.13,140.3,82.0,88,75,16.11,JP,1594109638
99,bluff,-46.6,168.33,39.0,83,99,3.0,NZ,1594109634
100,waddan,29.16,16.14,79.32,42,0,8.95,LY,1594110128
101,port hardy,50.7,-127.42,54.14,83,99,4.52,CA,1594109769
102,the valley,18.22,-63.06,82.4,78,20,12.75,AI,1594110128
103,victoria,22.29,114.16,90.0,66,69,15.01,HK,1594109443
104,ambon,-3.7,128.18,82.4,74,40,8.05,ID,1594110129
105,east london,-33.02,27.91,66.2,52,20,23.04,ZA,1594109638
106,portland,45.52,-122.68,61.0,72,90,5.82,US,1594109820
107,derzhavinsk,51.1,66.32,78.91,44,0,3.87,KZ,1594110130
108,conde,-7.26,-34.91,69.12,92,16,7.74,BR,1594110130
109,tuktoyaktuk,69.45,-133.04,34.95,95,99,7.61,CA,1594109673
110,karratha,-20.74,116.85,78.76,24,0,12.08,AU,1594110091
111,merauke,-8.47,140.33,79.79,79,95,17.09,ID,1594110130
112,albion,42.24,-84.75,68.0,94,1,3.78,US,1594110131
113,hobyo,5.35,48.53,85.51,58,100,22.93,SO,1594110131
114,hun,29.13,15.95,79.52,41,0,8.01,LY,1594110131
115,cherskiy,68.75,161.3,63.45,48,79,5.17,RU,1594109693
116,longyearbyen,78.22,15.64,51.8,71,90,19.46,SJ,1594109780
117,petropavlovsk-kamchatskiy,53.05,158.65,59.0,82,13,15.66,RU,1594110131
118,mar del plata,-38.0,-57.56,43.0,100,75,4.7,AR,1594109636
119,vestmannaeyjar,63.44,-20.27,51.8,81,73,14.99,IS,1594109712
120,havelock,34.88,-76.9,81.0,88,1,1.68,US,1594109820
121,arraial do cabo,-22.97,-42.03,69.8,100,20,5.82,BR,1594109671
122,el alto,-4.27,-81.21,63.48,84,18,13.8,PE,1594110132
123,invermere,50.52,-116.04,56.86,54,90,0.74,CA,1594110133
124,aripuana,-9.17,-60.63,69.93,70,0,2.08,BR,1594110133
125,dikson,73.51,80.55,52.11,61,99,15.3,RU,1594109700
126,ninghai,29.29,121.42,84.0,97,100,2.66,CN,1594110133
127,verkhnyaya inta,65.98,60.31,80.24,41,20,18.19,RU,1594110133
128,raahe,64.68,24.48,59.0,87,40,4.7,FI,1594110134
129,kudahuvadhoo,2.67,72.89,84.38,71,99,9.01,MV,1594109678
130,roald,62.58,6.13,51.8,71,75,5.82,NO,1594109691
131,barrow,71.29,-156.79,33.8,86,90,17.22,US,1594109404
132,gberia fotombu,9.88,-11.17,70.09,97,100,4.9,SL,1594110134
133,sorland,67.67,12.69,50.0,81,75,13.87,NO,1594110134
134,evensk,61.95,159.23,51.19,87,80,12.12,RU,1594110135
135,pisco,-13.7,-76.22,59.0,87,40,3.36,PE,1594109669
136,cabinda,-5.55,12.2,73.4,94,20,6.93,AO,1594110135
137,mackay,-21.15,149.2,68.0,77,40,16.11,AU,1594109699
138,varzea da palma,-17.6,-44.73,58.84,75,0,1.9,BR,1594110136
139,largs,55.8,-4.86,53.01,91,100,1.99,GB,1594110136
140,yulara,-25.24,130.99,64.4,25,0,8.05,AU,1594109824
141,yumen,40.28,97.2,90.93,12,100,5.93,CN,1594109817
142,northam,51.03,-4.22,60.01,85,73,8.99,GB,1594109650
143,pacific grove,36.62,-121.92,57.2,82,20,8.05,US,1594109713
144,bajil,15.06,43.29,96.49,42,8,5.19,YE,1594109708
145,mirnyy,62.54,113.96,62.6,55,100,4.47,RU,1594109809
146,mareeba,-17.0,145.43,71.6,68,75,11.41,AU,1594109699
147,leningradskiy,69.38,178.42,43.68,78,28,4.36,RU,1594109728
148,parrita,9.52,-84.32,71.6,73,95,12.75,CR,1594110137
149,xiaoweizhai,26.19,107.51,82.11,78,100,10.18,CN,1594110138
150,espanola,35.99,-106.08,70.0,42,1,8.05,US,1594110138
151,talnakh,69.49,88.4,69.8,49,91,6.71,RU,1594109770
152,barillas,15.8,-91.32,59.43,78,94,3.51,GT,1594110138
